2022-03-19 10:43:42,762 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:43:42,762 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:43:43,106 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:43:58,273 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:44:45,805 | DEBUG | handlers.py:71 (start) | ipakeev (541400993): /start
2022-03-19 10:44:53,886 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:51:57,207 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:51:57,722 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:51:57,722 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:51:58,098 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:51:58,098 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:51:58,473 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:51:58,473 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:51:58,848 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:51:58,848 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:51:59,223 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:51:59,223 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:51:59,724 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:51:59,739 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:52:00,098 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:52:00,114 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:52:00,474 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:52:00,474 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:52:00,849 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:52:00,849 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:52:01,224 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:52:01,224 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:52:01,615 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:52:01,615 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:52:01,990 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:52:53,808 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:52:54,215 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:52:54,215 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:52:54,559 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:52:54,574 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:52:54,919 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:52:54,919 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:52:55,262 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:52:55,262 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:52:55,638 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:52:55,638 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:52:55,982 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:52:55,998 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:52:56,342 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 10:52:56,342 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 10:52:56,702 | INFO | app.py:24 (disconnect) | disconnecting from the app
